type produit;numero AMM;nom produit;type culture libelle;dose min par apport;dose min par apport unite;dose max par apport;dose max par apport unite;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;saison application min;saison application max;saison application min commentaire;saison application max commentaire; date decision;culture commentaire;
MFSC;1150022;ALTERNAZOTE;Autres;2.0;L/ha;2.0;L/ha;;;Autorisé;;;Tallage à début floraison (simultanément à la fertilisation azotée) ;Tallage à début floraison (simultanément à la fertilisation azotée) ;17/02/2016;Blé et céréales à pailles;
MFSC;1170247;NITROGEN GR;Grandes cultures;10.4;kg/ha;10.4;kg/ha;;;Autorisé;;;semis;semis;12/07/2017;Nombre maximum de germes par hectare : 4E11 * soit une dose maximale correspondante d'inoculum bactérien de 0,4 kg/ha et une dose maximale correspondante de support granulé (sépiolite) de 10 kg/ha ;
MFSC;1170248;NITROGEN;Grandes cultures;0.4;kg/ha;0.4;kg/ha;;;Autorisé;;;Semis;Semis;12/07/2017;;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Grandes cultures;275.0;kg/ha;275.0;kg/ha;;;Autorisé;;;Respecter les bonnes pratiques de fertilisation   ;Respecter les bonnes pratiques de fertilisation   ;19/10/2016;Blé Fractionnement possible de la dose annuelle en 2 apports;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Grandes cultures;500.0;kg/ha;500.0;kg/ha;;;Autorisé;Mai;Mai;Stade levée;Stade levée;19/10/2016;Maïs ensilage;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;250.0;kg/ha;250.0;kg/ha;;;Autorisé;Avril;Mai;stade montaison;stade montaison;19/10/2016;Prairie Mixte;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;350.0;kg/ha;350.0;kg/ha;;;Autorisé;Avril;Juin;stade montaison;stade montaison;19/10/2016;Prairie fauchée Fractionnement possible de la dose annuelle en 2 apports;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;300.0;kg/ha;300.0;kg/ha;;;Autorisé;Avril;Avril;stade montaison;stade montaison;19/10/2016;Prairie paturée;
MFSC;6070002;OXYOM;Autres;5.0;t/ha;5.0;t/ha;;;Retrait;;;;;10/03/2016;Entretien du pH au sol. 1 apport tous les 3 ans.;
MFSC;6070002;OXYOM;Autres;10.0;t/ha;10.0;t/ha;;;Retrait;;;;;10/03/2016;Redressement du pH au sol. 1 apport tous les 3 ans.;
MFSC;1150019;PREMIER TECH-GHA180;Cultures ornementales;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Fleurs et plantes ornementales. Au semis ou à la transplantation ;
MFSC;1150019;PREMIER TECH-GHA180;Cultures légumières;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Légumes à fruit : Tomate aubergine, cerise de terre et poivrons. Légume-feuille : Laitue, roquette, épinard, cresson, etc.  Cucurbitacées : Concombre, cantaloup, melon, courge, melon d'eau et citrouille Les choux : Brocoli, chou de Bruxelles, chou, chou-fleur, etc. Légumes bulbes : incluant Oignon, poireaux et échalotes. Au semis ou à la transplantation ;
MFSC;1150019;PREMIER TECH-GHA180;Arboriculture fruitière et vigne;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Petits fruits :  Mûre framboise et fraise Au semis ou à la transplantation ;
MFSC;1150019;PREMIER TECH-GHA180;Cultures légumières;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Légumineuses : Haricots, gourgane, féverole, pois chiche, etc. A la plantation ou immédiatement après la plantation, mais avant l'émergence ;
MFSC;1170689;SUPPORTER;Grandes cultures;30.0;mL/unité;30.0;mL/unité;;;Autorisé;;;;;28/12/2017;Maïs Traitement de semences Dose : 30 mL/unité de semences (sur la base d'une unité de semences égale à 80 000 graines) Ne pas apporter plus de 30 mL du produit SUPPORTER /ha ;
MFSC;1150017;SORBISTART;Grandes cultures;50.0;kg/ha;100.0;kg/ha;;;Autorisé;;;;;01/02/2016;Maïs : Pré-semis. Nombre de germes par hectare : 5E10 - 1E11;
MFSC;1150017;SORBISTART;Autres;50.0;kg/ha;100.0;kg/ha;;;Autorisé;;;;;01/02/2016;Légumineuses (soja) : Pré-semis Nombre de germes par hectare : 5E10 - 1E11;
MFSC;1150017;SORBISTART;Grandes cultures;50.0;kg/ha;100.0;kg/ha;;;Autorisé;;;;;01/02/2016;Pomme de terre avant plantation Nombre de germes par hectare : 5E10 - 1E11;
MFSC;1150006;CENDRES DE BAGASSE ALBIOMA BOIS ROUGE;Cultures tropicales;26.0;t/ha;26.0;t/ha;;;Autorisé;;;Préparation des sols précédant la plantation;;;Canne à sucre;
MFSC;1150004;CENDRES DE BAGASSE ALBIOMA LE GOL;Cultures tropicales;50.0;t/ha;50.0;t/ha;;;Autorisé;;;Préparation des sols précédant la plantation;;;Canne à sucre;
MFSC;1150005;CENDRES DE BAGASSE ALBIOMA LE MOULE;Cultures tropicales;14.0;t/ha;14.0;t/ha;;;Autorisé;;;Préparation des sols précédant la plantation;;;Canne à sucre;
MFSC;1150005;CENDRES DE BAGASSE ALBIOMA LE MOULE;Autres;19.0;t/ha;19.0;t/ha;;;Autorisé;;;Préparation des sols précédant la plantation;;;Tubercules;
MFSC;1150005;CENDRES DE BAGASSE ALBIOMA LE MOULE;Cultures tropicales;19.0;t/ha;19.0;t/ha;;;Autorisé;;;Préparation des sols précédant la plantation ;;;Uniquement banane ;
MFSC;1160001;TRADIBASE MG;Traitements généraux;1.0;t/ha;2.0;t/ha;;;Autorisé;Octobre;Mars;avant semis;avant semis;13/09/2016;Toutes cultures;
MFSC;1190852;MICROBACTER;Cultures légumières;0.5;kg/ha;1.0;kg/ha;;;Autorisé;Au semis;;;;18/11/2019;Cultures légumières bulbes en plein (oignon,ail,échalote);
MFSC;1190852;MICROBACTER;Cultures légumières;0.5;kg/ha;1.0;kg/ha;;;Autorisé;Au semis;;Au semis;;18/11/2019;Cultures légumières racines en plein (carotte, betterave, radis);
MFSC;1180447;PIGMENTIL;Autres;;;5.0;L/ha;;;Autorisé;;;4 et 2 semaines avant la récolte.;;27/07/2018;Pommes, Poires Pulvérisation foliaire.;
MFSC;1170179;ALGONIA;Arboriculture fruitière et vigne;1.0;kg/ha;1.0;kg/ha;;;Autorisé;;;En encadrement de floraison;;21/03/2017;Arbres fruitiers;
MFSC;1170179;ALGONIA;Arboriculture fruitière et vigne;0.75;kg/ha;0.75;kg/ha;;;Autorisé;;;Stade 5-6 feuilles/grappes séparées/nouaison/grappes fermées;;21/03/2017;Vigne;
MFSC;1170179;ALGONIA;Cultures légumières;0.75;kg/ha;0.75;kg/ha;;;Autorisé;;;Tous les 10-15 jours dès le démarrage végétatif.;;21/03/2017;Artichaut, Chou, Echalote, Haricot, Carotte, Salade, Tomate;
MFSC;1170179;ALGONIA;Autres;0.75;kg/ha;0.75;kg/ha;;;Autorisé;;;A partir du début de la tubérisation puis tous les 15 jours.;;21/03/2017;;
MFSC;1170179;ALGONIA;Autres;0.75;kg/ha;0.75;kg/ha;;;Autorisé;;;En conditions difficiles sur végétation développée;;21/03/2017;Autres plantes annuelles : maïs, colza, céréales;
MFSC;1170179;ALGONIA;Autres;500.0;g/ha;500.0;g/ha;;;Autorisé;;;1 application par semaine à appliquer en même temps que les apports d'engrais;;21/03/2017;Ferti-irrigation;
MFSC;1190007;MICRO TONIC;Grandes cultures;0.5;kg/ha;1.5;kg/ha;;;Autorisé;Au semis;Au semis;;;28/01/2016;Cultures céréalières (blé, orge, avoine) et Maïs Apport au semis. 5E10 à 1.5E11 UFC/ha;
MFSC;1200252;TSL 292;;2.0;kg/ha;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;pulvérisation foliaire, hydrophonie / goutte à goutte, semences;
MFSC;1200252;TSL 292;Autres;2.0;kg/ha;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Cultures oléagineuses Pulvérisation foliaire, hydroponie / goutte à goutte, semences;
MFSC;1200252;TSL 292;Cultures maraîchères;2.0;kg/ha;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Pulvérisation foliaire, hydroponie / goutte à goutte, semences;
MFSC;1200252;TSL 292;;2.0;kg/ha;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Pulvérisation foliaire, hydroponie / goutte à goutte, semences;
MFSC;1200252;TSL 292;Arboriculture fruitière et vigne;2.0;kg/ha;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Arboriculture Pulvérisation foliaire, hydroponie / goutte à goutte, semences;
MFSC;1200252;TSL 292;Grandes cultures;2.0;kg/ha;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Cultures industrielles (pormme de terre) Pulvérisation foliaire, hydroponie / goutte à goutte, semences;
MFSC;1200252;TSL 292;Grandes cultures;2.0;kg/ha;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Cultures industrielles (betterave) Pulvérisation foliaire, hydroponie / goutte à goutte, semences;
MFSC;1200295;TSL 29;;;;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Pulvérisation foliaire ou au sol Hydroponie / goutte à goutte, pralinage;
MFSC;1200295;TSL 29;Autres;;;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Cultures oléagineuses Pulvérisation foliaire ou au sol Hydroponie / goutte à goutte, pralinage;
MFSC;1200295;TSL 29;Cultures maraîchères;;;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Pulvérisation foliaire ou au sol Hydroponie / goutte à goutte, pralinage;
MFSC;1200295;TSL 29;;;;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Pulvérisation foliaire ou au sol Hydroponie / goutte à goutte, pralinage;
MFSC;1200295;TSL 29;Autres;;;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Arboriculture Pulvérisation foliaire ou au sol Hydroponie / goutte à goutte, pralinage;
MFSC;1200295;TSL 29;Autres;;;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Cultures industrielles (pomme de terre) Pulvérisation foliaire ou au sol Hydroponie / goutte à goutte, pralinage;
MFSC;1200295;TSL 29;Autres;;;10.0;kg/ha;;;Autorisé;;;Printemps / été;;12/05/2020;Cultures industrielles (betterave);
MFSC;1140013;MICROFLOR;Grandes cultures;0.2;kg/ha;0.5;kg/ha;;;Retrait;Au semis;Au semis;;;11/06/2019;Céréales, Maïs, Colza, Tournesol;
MFSC;1140013;MICROFLOR;Cultures maraîchères;0.2;kg/ha;0.5;kg/ha;;;Retrait;Au semis;A la plantation;;;11/06/2019;;
MFSC;9710070;PERMEATE;Gazons de graminées, jardins d'amateurs;10.0;L/L;10.0;L/L;;;Retrait;;;;;04/04/2019;* Utilisation réservée aux terrains de golf, en apport localisé sur les zones présentant des risques d'apparition de tâches sèches d'origine hydrique. ;
MFSC;9810004;AQUA TOP;Gazons de graminées, jardins d'amateurs;10.0;L/ha;10.0;L/ha;;;Retrait;;;;;04/04/2019;Terrains de golf;
MFSC;1190282;INOQ ADVANTAGE;Traitements généraux;100.0;mL/ha;100.0;mL/ha;;;Autorisé;;;Printemps / été;;22/05/2019;Toutes cultures (champ);
MFSC;1190282;INOQ ADVANTAGE;Traitements généraux;1.0;mL / 1000 L de substrat;1.0;mL / 1000 L de substrat;;;Autorisé;;;Printemps / été;;22/05/2019;Toutes cultures (serre);
MFSC;6190462;INOQ TOP;Traitements généraux;100.0;mL/plant ;100.0;mL/plant ;;;Autorisé;;;Printemps, été;;22/07/2019;Toutes cultures Apport au sol (trou de plantation ou cultures en place);
MFSC;6190462;INOQ TOP;Autres;10.0;%;10.0;%;;;Autorisé;;;Printemps, été;;22/07/2019;Mélange avec substrat Apport aux supports de culture;
MFSC;1200546;VITIVERT MAX;;;;5.0;L/ha;;;Autorisé;;;1ère application : feuilles étalées, stade E 2ème application : grappes séparées, stade F;;01/09/2020;;
MFSC;1171301;R6-CDX;;0.025;L/ha;2.0;L/ha;;;Autorisé;;;;;22/01/2018;;
MFSC;1171301;R6-CDX;Autres;0.0050;L/ha;1.5;L/ha;;;Autorisé;;;;;22/01/2018;Plantation/pépinière/arbres et arbustes;
MFSC;1171301;R6-CDX;Cultures florales;0.0050;L/ha;1.0;L/ha;;;Autorisé;;;;;22/01/2018;;
MFSC;1171301;R6-CDX;Arboriculture fruitière et vigne;0.0050;L/ha;1.0;L/ha;;;Autorisé;;;;;22/01/2018;;
MFSC;1171301;R6-CDX;Cultures maraîchères;0.0050;L/ha;1.0;L/ha;;;Autorisé;;;;;22/01/2018;;
MFSC;1171301;R6-CDX;Grandes cultures;0.0050;L/ha;0.25;L/ha;;;Autorisé;;;;;22/01/2018;et cultures industrielles;
MFSC;1303001;GREENSTIM;Grandes cultures;1.0;kg/ha;5.0;kg/ha;;;Autorisé;;;Au cours du cycle de production;;25/03/2013;Luzerne;
MFSC;1303001;GREENSTIM;Arboriculture fruitière et vigne;1.0;kg/ha;5.0;kg/ha;;;Autorisé;;;Au cours du cycle de production;;25/03/2013;Agrumes (oranger, mandarinier..) ;
MFSC;1303001;GREENSTIM;Cultures maraîchères;1.0;kg/ha;4.0;kg/ha;;;Autorisé;;;Au cours du cycle de production;;25/03/2013;Légumes, fruits;
MFSC;1303001;GREENSTIM;Arboriculture fruitière et vigne;1.0;kg/ha;5.0;kg/ha;;;Autorisé;;;Au cours du cycle de production;;18/09/2017;Arboriculture fruitière : agrumes (oranger, mandarinier…) Utilisation comme additif agronomique pour un usage en mélange avec des engrais pour pulvérisation foliaire conformes aux normes NF U 42-003.1 et NF U 42-003.2 ou au règlement (CE) n° 2003/2003.;
MFSC;1303001;GREENSTIM;Cultures maraîchères;1.0;kg/ha;5.0;kg/ha;;;Autorisé;;;Au cours du cycle de production;;18/09/2017;Utilisation comme additif agronomique pour un usage en mélange avec des engrais pour pulvérisation foliaire conformes aux normes NF U 42-003.1 et NF U 42-003.2 ou au règlement (CE) n° 2003/2003.;
MFSC;1303001;GREENSTIM;Grandes cultures;1.0;kg/ha;5.0;kg/ha;;;Autorisé;;;	Au cours du cycle de production;;18/09/2017;Luzerne  Utilisation comme additif agronomique pour un usage en mélange avec des engrais pour pulvérisation foliaire conformes aux normes NF U 42-003.1 et NF U 42-003.2 ou au règlement (CE) n° 2003/2003.;
MFSC;1180794;GRAIN-SET;;0.5;L/ha;1.0;L/ha;;;Autorisé;;;Durant le tallage (BBCH 21 à 31) puis entre le stade gonflement (BBCH41) et épiaison (BBCH51).;;07/12/2018;blé orge et avoine pulvérisation foliaire;
MFSC;1180794;GRAIN-SET;;0.5;L/ha;1.0;L/ha;;;Autorisé;;;Stade ( à 9 feuilles, puis 3 à 5 semaines plus tard ou jusqu'à la floraison.;;07/12/2018;Pulvérisation foliaire;
MFSC;1190427;VITALINK TURBO;Traitements généraux;1.0;mL/L;1.0;mL/L;;;Autorisé;;;1 à 2 semaines avant l'initiation florale;;22/07/2019;Toutes cultures Hydroponie, réserve d'eau, goutte à goutte;
MFSC;1190539;TERREMO-COQUILLES;Grandes cultures;1000.0;kg/ha;4000.0;kg/ha;;;Autorisé;;;Toute l'année (avant ou lors de la préparation du sol avant semis).;Toute l'année (avant ou lors de la préparation du sol avant semis).;19/11/2019;Entretien du pH du sol. Application par épandage au sol.;
MFSC;1190539;TERREMO-COQUILLES;Cultures légumières;1000.0;kg/ha;4000.0;kg/ha;;;Autorisé;;;Toute l'année (avant ou lors de la préparation du sol avant semis).;Toute l'année (avant ou lors de la préparation du sol avant semis).;19/11/2019;Entretien du pH du sol. Application par épandage au sol.;
MFSC;1190539;TERREMO-COQUILLES;Autres;1000.0;kg/ha;4000.0;kg/ha;;;Autorisé;;;Toute l'année (avant ou lors de la préparation du sol avant semis);Toute l'année (avant ou lors de la préparation du sol avant semis);19/11/2019;Cultures fourragères. Entretien du pH du sol. Application par épandage au sol.;
MFSC;1190423;APROSOIL G300;Autres;1.0;kg/m3;3.0;kg/m3;;;Autorisé;;;A la plantation;;12/07/2019;Support de culture Mélanger au substrat de façon homogène.;
MFSC;1190423;APROSOIL G300;Arbres et arbustes d'ornement;1.0;kg/m3;2.0;kg/m3;;;Autorisé;;;A la plantation;;12/07/2019;Trou de plantation;
MFSC;1190423;APROSOIL G300;Gazon de graminées;20.0;g/m²;50.0;g/m²;;;Autorisé;;;Au moment de la préparation du sol;;12/07/2019;Pelouses et gazons en plaque Incorporation au sol;
MFSC;1180826;MYCO'SOL BTC;Autres;1.0;kg/ha;800.0;kg/ha;;;Autorisé;;;au semis et/ou en période de croissance végétative.;;19/12/2018;Toutes cultures;
MFSC;1000037;PROTIFERT LMW 8;Arboriculture fruitière et vigne;5.0;kg/ha;5.0;kg/ha;;;Autorisé;;;fleuraison et période de croissance;;01/06/2016;Vigne;
MFSC;1000037;PROTIFERT LMW 8;Arboriculture fruitière et vigne;5.0;kg/ha;5.0;kg/ha;;;Autorisé;;;fleuraison et période de croissance ;;01/06/2016;Arbres fruitiers;
MFSC;1000037;PROTIFERT LMW 8;Cultures légumières;5.0;kg/ha;5.0;kg/ha;;;Autorisé;;;fleuraison et période de croissance;;01/06/2016;Tomates;
MFSC;1000037;PROTIFERT LMW 8;Cultures maraîchères;5.0;kg/ha;5.0;kg/ha;;;Autorisé;;;période de croissance;;01/06/2016;Fraises;
MFSC;1000037;PROTIFERT LMW 8;Cultures légumières;3.0;kg/ha;3.0;kg/ha;;;Autorisé;;;période de croissance;;01/06/2016;Légumes feuilles;
MFSC;1000037;PROTIFERT LMW 8;Grandes cultures;6.0;kg/ha;6.0;kg/ha;;;Autorisé;;;tallage;;01/06/2016;Blé;
MFSC;1000037;PROTIFERT LMW 8;Grandes cultures;6.0;kg/ha;6.0;kg/ha;;;Autorisé;;;;;01/06/2016;Maïs;
MFSC;1190701;FICOSTERRA-G;Arboriculture fruitière et vigne;;;9000.0;kg/ha;;;Autorisé;Printemps;;Avant la germination.;;18/10/2019;verger;
MFSC;1190701;FICOSTERRA-G;Autres;;;3600.0;kg/ha;;;Autorisé;Printemps;;Avant la germination;;18/10/2019;jardin de fleurs;
MFSC;1190701;FICOSTERRA-G;Gazon de graminées;;;3600.0;kg/ha;;;Autorisé;Printemps;;Avant la germination;;18/10/2019;;
MFSC;1190701;FICOSTERRA-G;Arbres et arbustes d'ornement;;;1500.0;kg/ha;;;Autorisé;Printemps;;Avant la germination;;18/10/2019;arbres de jardin;
MFSC;1190701;FICOSTERRA-G;;;;6000.0;kg/ha;;;Autorisé;Printemps;;Avant la germination;;18/10/2019;;
MFSC;1170265;TERRA-SORB FOLIAR;Grandes cultures;1.5;kg/ha;3.0;kg/ha;;;Autorisé;;;Début tallage;montaison;18/09/2017;Céréales;
MFSC;1170265;TERRA-SORB FOLIAR;Grandes cultures;1.5;kg/ha;3.0;kg/ha;;;Autorisé;;;stade 4-8 feuilles;début floraison;18/09/2017;Colza;
MFSC;1170265;TERRA-SORB FOLIAR;Grandes cultures;1.5;kg/ha;3.0;kg/ha;;;Autorisé;;;stade 4-8 feuilles ;stade 6-10 feuilles;18/09/2017;Maïs;
MFSC;1170265;TERRA-SORB FOLIAR;Arboriculture fruitière et vigne;2.0;kg/ha;3.0;kg/ha;;;Autorisé;;;avant floraison, ;grossissement des baies;18/09/2017;Vigne;
MFSC;1170265;TERRA-SORB FOLIAR;Arboriculture fruitière et vigne;2.0;kg/ha;3.0;kg/ha;;;Autorisé;;;débourrement;grossissement des fruits;18/09/2017;Cultures fruitières;
MFSC;1170265;TERRA-SORB FOLIAR;Cultures légumières;2.0;kg/ha;3.0;kg/ha;;;Autorisé;;;après repiquage;grossissement des fruits. ;18/09/2017;Cultures légumières (solanacées, cucurbitacées);
MFSC;1171104;VALORSEED;Traitements généraux;;;1500.0;kg/ha;;;Autorisé;;;;;05/03/2018;Toutes cultures  Uniquement pour 1 apport tous les 3 ans Epoque d'apport : Toute l'année en épandage au sol Sur les cultures  : Apport lors de la préparation du sol  Sur prairies : Apport en fin de période de pâturage ;
MFSC;6171096;ESMAG-FAMILLE;Autres;1000.0;kg/ha;1500.0;kg/ha;;;Autorisé;Printemps;Automne;;;30/10/2017;Toutes cultures dont : maïs, tournesol, betteraves, pomme de terre, céréales à paille, prairies, vigne et arboriculture;
MFSC;6171096;ESMAG-FAMILLE;Autres;1000.0;kg/ha;1500.0;kg/ha;;;Autorisé;Printemps;Automne;;;30/10/2017;Toutes cultures dont : maïs, tournesol, betteraves, pomme de terre, céréales à paille, prairies, vigne et arboriculture;
MFSC;1200156;FERTECH FRUIT;;;;2.5;L/ha;60;79;Autorisé;;;2 applications entre les stades floraison et fermeture de grappe;;13/03/2020;;
MFSC;1190498;VERTIGO;Traitement des semences;0.1;L/t;10.0;L/t;;;Autorisé;Au semis;;;;01/08/2019;;
MFSC;1190498;VERTIGO;Autres;;;10.0;L/ha;;;Autorisé;;;toute l'année, stades de croissance clés des plantes1;;01/08/2019;;
MFSC;1190498;VERTIGO;Autres;1.0;L/ha;20.0;L/ha;;;Autorisé;;;toute l'année;;01/08/2019;;
MFSC;1190498;VERTIGO;Autres;0.1;L/t;200.0;L/t;;;Autorisé;;;toute l'année;;01/08/2019;;
MFSC;1190337;FHAMST-N;Grandes cultures;;;2.69;kg/ha;;;Autorisé;;;Toute l'année à l'implantation des cultures.;;16/04/2020;Uniquement sur céréales à paille et colza. Efficacité montrée sur la croissance et le développement racinaire, le développement de la biomasse aérienne et l'assimilation de certains minéraux dans les parties aériennes et racinaires. Incorporé à 21% (p/p) (soit 210 kg/tonne) dans des engrais liquides ou engrais pour solutions nutritives dont la densité maximale est de 1,6. Apport maximal du mélange engrais/additif agronomique : 8 L/ha/application. ;
MFSC;1190337;FHAMST-N;Cultures maraîchères;;;3.36;kg/ha;;;Autorisé;;;Toute l'année à l'implantation des cultures.;;16/04/2020;Uniquement sur légumes feuilles. Efficacité montrée sur la croissance et le développement racinaire. Incorporé à 21% (p/p) (soit 210 kg/tonne) dans des engrais liquides ou engrais pour solutions nutritives conformes aux normes NF U42-001, NF U42-002, NF U42-003, NF U42-004 ou au règlement CE n°2003/2003 et dont la densité maximale est de 1,6. Apport maximal du mélange engrais/additif agronomique : 10 L/ha/application.;
MFSC;1210082;KITOGREEN YIELD;Traitements généraux;0.15;kg/ha;0.3;kg/ha;;;Autorisé;;;du stade BBCH 0-9 au stade BBCH 89 Application toutes les 2 à 3 semaines;;02/02/2021;Toutes cultures;
MFSC;1210082;KITOGREEN YIELD;Traitements généraux;0.15;kg/ha;0.3;kg/ha;;;Autorisé;;;du stade BBCH 0-9 au stade BBCH 89 Application toutes les 2 à 3 semaines;;02/02/2021;Toutes cultures;
MFSC;1210082;KITOGREEN YIELD;Traitements généraux;50.0;g/L;100.0;g/L;;;Autorisé;;;;;02/02/2021;Toutes cultures;
MFSC;1210082;KITOGREEN YIELD;Traitements généraux;50.0;g/L;100.0;g/L;;;Autorisé;;;;;02/02/2021;Toutes cultures;
MFSC;1180308;HI SPORE;Cultures maraîchères;1.0;kg d'inoculum/ha;2.0;kg d'inoculum/ha;;;Autorisé;;;avant le semis;;12/06/2018;;
MFSC;1180308;HI SPORE;Grandes cultures;0.5;;1.0;;;;Autorisé;;;;;12/06/2018;;
MFSC;1180308;HI SPORE;Autres;0.5;;1.0;;;;Autorisé;;;avant le semis;;12/06/2018;Intercultures;
MFSC;1170375;MYCORRHIZAE PREMIER TECH-P501;Autres;280.0;g/m3 de substrat;280.0;g/m3 de substrat;;;Autorisé;;;Mélange au substrat ou apport au pied des plantes dans le trou de plantation;;31/05/2017;Productions horticoles et maraichères (140 000 spores/m3);
MFSC;8310196;ORGATAIRE;Grandes cultures;10.0;t/ha;25.0;t/ha;;;Retrait;;;Avant le semis ou durant toute l'année, en dehors des périodes de culture Apport au sol avant labour ou travail superficiel du sol ;;13/12/2021;10 t/ha/an ou 25 t/ha/3 ans;
MFSC;6080001;AGRI-BIOTECH MYC;Cultures maraîchères;2.5;kg d'inoculum/ha;3.75;kg d'inoculum/ha;;;Retrait;Au semis;A la plantation;;;04/04/2019;;
MFSC;6080001;AGRI-BIOTECH MYC;Arboriculture fruitière et vigne;2.5;kg d'inoculum/ha;15.0;kg d'inoculum/ha;;;Retrait;A la plantation;;;;04/04/2019;;
MFSC;6080001;AGRI-BIOTECH MYC;Cultures florales;15.0;spores/plant;800.0;spores/plant;;;Retrait;Au semis;A la plantation;;;04/04/2019;;
MFSC;6080001;AGRI-BIOTECH MYC;Gazons de graminées, jardins d'amateurs;2.5;kg d'inoculum/ha;5.0;kg d'inoculum/ha;;;Retrait;Au semis;;;;04/04/2019;Gazons;
MFSC;6080001;AGRI-BIOTECH MYC;Autres;2.5;kg d'inoculum/ha;5.0;kg d'inoculum/ha;;;Retrait;Au semis;;;;04/04/2019;Prairies;
MFSC;1170213;RIZOLIQ TOP;Grandes cultures;0.4;L/q;0.4;L/q;;;Autorisé;Au semis;Au semis;;;12/07/2017;Nombre d'UFC/100 kg de semences : 3.1011 soit une dose maximale correspondante d'inoculum bactérien de 0,3 L/100 kg de semences et une dose maximale correspondante de solution d'inoculation carbonée (PREMAX) de 0,1 L/100 kg de semences. ;
MFSC;1000052;FLORASTIM;Grandes cultures;1.0;L/ha;2.0;L/ha;;;Autorisé;;;;;22/08/2016;;
MFSC;1000052;FLORASTIM;Gazons de graminées, jardins d'amateurs;2.0;L/ha;2.0;L/ha;;;Autorisé;;;;;22/08/2016;gazons et fourragères;
MFSC;1000052;FLORASTIM;Cultures maraîchères;1.0;L/ha;3.0;L/ha;;;Autorisé;;;;;22/08/2016;;
MFSC;1000052;FLORASTIM;Autres;2.0;L/ha;2.0;L/ha;;;Autorisé;;;;;22/08/2016;Cultures industrielles;
MFSC;1000052;FLORASTIM;Arboriculture fruitière et vigne;2.0;L/ha;4.0;L/ha;;;Autorisé;;;;;22/08/2016;arboriculture;
MFSC;1000052;FLORASTIM;Cultures ornementales;2.0;L/ha;4.0;L/ha;;;Autorisé;;;;;22/08/2016;;
MFSC;1000052;FLORASTIM;Arboriculture fruitière et vigne;4.0;L/ha;6.0;L/ha;;;Autorisé;;;;;22/08/2016;Vigne;
MFSC;1180321;RHIZO POWER RHIZOBIUM LEGUMINOSARUM;Autres;1.0;;1.0;;;;Autorisé;Au semis;Au semis;;;13/07/2018;Traitement des semences L pour 100 kg de semences.;
MFSC;1190125;GENEO 103;;3.0;L/ha;5.0;L/ha;;;Autorisé;;;Toute l'année, à l'implantation des cultures;;05/08/2019;Pulvérisation foliaire ou au sol;
MFSC;1190125;GENEO 103;;5.0;L/ha;8.0;L/ha;;;Autorisé;;;Toute l'année, à l'implantation de la culture;;05/08/2019;Pulvérisation foliaire ou au sol;
MFSC;1190125;GENEO 103;;3.0;L/ha;5.0;L/ha;;;Autorisé;;;Toute l'année, à l'implantation des cultures;;05/08/2019;Pulvérisation foliaire ou au sol;
MFSC;1190125;GENEO 103;;3.0;L/ha;5.0;L/ha;;;Autorisé;;;Toute l'année, à l'implantation de la culture;;05/08/2019;Pulvérisation foliaire ou au sol;
MFSC;1190125;GENEO 103;;4.0;L/ha;5.0;L/ha;;;Autorisé;;;Toute l'année, à l'implantation de la culture;;05/08/2019;Pulvérisation foliaire ou au sol;
MFSC;1190125;GENEO 103;;4.0;L/ha;8.0;L/ha;;;Autorisé;;;Toute l'année, à l'implantation de la culture;;05/08/2019;Pulvérisation foliaire ou au sol;
MFSC;1190125;GENEO 103;;5.0;L/ha;10.0;L/ha;;;Autorisé;;;Toute l'année, à l'implantation de la culture et au stade du développement racinaire;;05/08/2019;Pulvérisation foliaire ou au sol;
