Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
MISCANIO;2160043;RETIRE;M. CAZORLA S.L;MISCANTI;2080059;MISCANTI;AMM n° 25.403;Espagne;Selon le produit de référence français;
MONGO;2170917;AUTORISE;EUROFYTO NV;KIX;2150058;NARITA;AMM n° 10297 P/B;Belgique;Selon le produit de référence français;
MONGO;2170917;AUTORISE;EUROFYTO NV;KIX;2150058;NARITA;AMM n° 14307N;Pays-Bas;Selon le produit de référence français;
LYCEDIX 50 EW;2170836;AUTORISE;SAGA SAS;CYFLODIUM;2130067;CIDELY;AMM n° 15449;Italie;Selon le produit de référence français;
CAZDIMEINA;2160954;AUTORISE;M. CAZORLA S.L;ISARD;9900251;SPECTRUM;AMM n° 24.742;Espagne;Selon le produit de référence français;
TRATSEMDAN2;2190204;AUTORISE;M. CAZORLA S.L;CELEST NET;2030323;CELEST;AMM n° 9288;Italie;Selon le produit de référence français;
RACABOZELI;2160294;AUTORISE;M. CAZORLA S.L;BELLIS;2080070;BELLIS;AMM n° 12868;Italie;Selon le produit de référence français;
CAZOFLOW;2110042;AUTORISE;M. CAZORLA S.L;MANIFLOW;2090121;MANIFLOW;AMM n° 25.251;Espagne;Selon le produit de référence français;
CAZOFLOW;2110042;AUTORISE;M. CAZORLA S.L;MANIFLOW;2090121;BORDOFLOW NEW;AMM n° 14102;Italie;Selon le produit de référence français;
YASUR;2140007;RETIRE;GRITCHE;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 12880;Italie;Selon le produit de référence français;
VERDE IODOSULFURON;2120186;RETIRE;VERDE-BIO SRL;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 12880;Italie;Selon le produit de référence français;
VALEUR;2040363;RETIRE;PHYTHERON 2000;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 12880;Italie;Selon le produit de référence français;
TOPMESO;2060027;RETIRE;TOP SAS;ATLANTIS WG;2010419;ATLANTIS;AMM n° 12748N;Pays-Bas;Selon le produit de référence français;
TOPMESO;2060027;RETIRE;TOP SAS;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 005094-00;Allemagne;Selon le produit de référence français;
TOPMESO;2060027;RETIRE;TOP SAS;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 9372/B;Belgique;Selon le produit de référence français;
OBEDIENCE;2040103;RETIRE;SAGA SAS;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 5094-00;Allemagne;Selon le produit de référence français;
OBEDIENCE;2040103;RETIRE;SAGA SAS;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 9372/B;Belgique;Selon le produit de référence français;
IWAKI;2110027;RETIRE;HMWC SAS;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 12478;Royaume-Uni;Selon le produit de référence français;
IKAWI;2130065;RETIRE;HMWC SAS;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 12880;Italie;Selon le produit de référence français;
IDEAL+;2050033;RETIRE;PHYTO SERVICE S.A.S.;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 005094-00;Allemagne;Selon le produit de référence français;
IDEAL+;2050033;RETIRE;PHYTO SERVICE S.A.S.;ATLANTIS WG;2010419;ATLANTIS WG;AMM n° 9372/B;Belgique;Selon le produit de référence français;
CAZLUNAS;2150646;AUTORISE;M. CAZORLA S.L;LUNA SENSATION;2130152;LUNA SENSATION;AMM n° 14437N;Pays-Bas;Selon le produit de référence français;
CAZLUNAS;2150646;AUTORISE;M. CAZORLA S.L;LUNA SENSATION;2130152;LUNA SENSATION;AMM n° ES-00028;Espagne;Selon le produit de référence français;
OWI;2190129;AUTORISE;HMWC SAS;TEMSA SC;2170425;TEMSA SC;AMM n° R-190/2015;Pologne;Selon le produit de référence français;
DIFENO 250 EC;2180717;AUTORISE;VSM AGROCHEM BVBA;DIFCOR 250 EC;2060002;DIFCOR 250 EC;AMM n° 9454 P/B;Belgique;Selon le produit de référence français;
TRINITY 590 SC;2180101;AUTORISE;PSI (UK) LTD;TRINITY;2160208;TRINITY 590 SC;AMM n° R-153/2013;Pologne;Selon le produit de référence français;
HERBI SEVIGNEA;2170883;AUTORISE;UNISEM S.A;KATANA 25 WG;9700070;CHIKARA 25 WG;AMM n° 46138/2004.FVM;Hongrie;Selon le produit de référence français;
HERBI SEVIGNEA;2170883;AUTORISE;UNISEM S.A;KATANA 25 WG;9700070;CHIKARA 25 WG;AMM n° 10929;Italie;Selon le produit de référence français;
RACARODNIE;2180221;AUTORISE;M. CAZORLA S.L;NIMROD;7600008;NIMROD 250 EC;AMM n° R-19/2015;Pologne;Selon le produit de référence français;
RAAT FLUDIO;2180494;AUTORISE;RAAT AGROCHEMICALS TRADING;CELEST NET;2030323;CELEST;AMM n° 9288;Italie;Selon le produit de référence français;
BOBY+;2170910;AUTORISE;PHYTO SERVICE S.A.S.;DELAN PRO;2160726;DELAN PRO;AMM n° 10485 P/B;Belgique;Selon le produit de référence français;
METAMINE+;2180026;AUTORISE;PHYTO SERVICE S.A.S.;BREVIS;2150002;BREVIS;AMM n° 10358 P/B;Belgique;Selon le produit de référence français;
KANADER;2120125;AUTORISE;SAGA SAS;AVIATOR XPRO;2110178;AVIATOR XPRO;AMM n° 006764-00;Allemagne;Selon le produit de référence français;
KANADER;2120125;AUTORISE;SAGA SAS;AVIATOR XPRO;2110178;AVIATOR XPRO 225 EC;AMM n° R-11/2013;Pologne;Selon le produit de référence français;
KANADER;2120125;AUTORISE;SAGA SAS;AVIATOR XPRO;2110178;AVIATOR XPRO 225 EC;AMM n° 01442-PPP-1/15.09.2016;Bulgarie;Selon le produit de référence français;
BORDER PIMP;2190166;AUTORISE;PSI (UK) LTD;BORDER;2160312;BORDER;AMM n° 15965;Italie;Selon le produit de référence français;
LEGACY PRO;2170915;AUTORISE;PSI (UK) LTD;TRINITY;2160208;LEGACY PRO;AMM n° 0432H/12;Lituanie;Selon le produit de référence français;
APN CLOMAZONE;2180029;AUTORISE;AGRO PROTECTION NUNSPEET BV;CLOMATE;2140042;CLEMATIS;AMM n° 007777-61;Allemagne;Selon le produit de référence français;
TRATSEMDAN6;2180356;AUTORISE;M. CAZORLA S.L;LATITUDE XL;2150019;LATITUDE XL;AMM n° 15747;Italie;Selon le produit de référence français;
KARBAZO;2150764;RETIRE;M. CAZORLA S.L;KARBEL;2130225;KARBEL;AMM n° 25.557;Espagne;Selon le produit de référence français;
JABBA;2180076;AUTORISE;GRITCHE;METAREX INO;2130075;METAREX INOV 04 RB;AMM n° R-16/2015;Pologne;Selon le produit de référence français;
PAN BLEU;2180220;AUTORISE;PAN AMENITY LTD;DEDICATE;2120219;GREENSTAR;AMM n° 04.2/625-1/2012;Hongrie;Selon le produit de référence français;
CABEOPRIE;2180355;AUTORISE;M. CAZORLA S.L;PROFILER;2100181;R6 ERRESEI ALBIS;AMM n° 13213;Italie;Selon le produit de référence français;
KARBAZO 2;2150902;RETIRE;M. CAZORLA S.L;ARVAK;2130228;ARVAK;AMM n° 25.545;Espagne;Selon le produit de référence français;
ROVICALO;2150767;RETIRE;M. CAZORLA S.L;ROVRAL AQUA FLO;9200262;ROVRAL PLUS;AMM n° 7957;Italie;Selon le produit de référence français;
RICAIN+;2171318;AUTORISE;PHYTO SERVICE S.A.S.;SARI PLUS;2140188;FABAN;AMM n° 10425 P/B;Belgique;Selon le produit de référence français;
FOLLOW +;2170999;AUTORISE;PHYTO SERVICE S.A.S.;IELO;2140098;MILESTONE;AMM n° 007726-00;Allemagne;Selon le produit de référence français;
RACADOELLI;2150276;AUTORISE;M. CAZORLA S.L;DELAN WG;9600395;DELAN 70 WG;AMM n° 12437;Italie;Selon le produit de référence français;
CIPOLIN;2200015;AUTORISE;GRITCHE;PANGOLIN DG;2170458;R6 ERRESEI BORDEAUX WG;AMM n° 15047;Italie;Selon le produit de référence français;
DANFAGRIG;2170580;AUTORISE;M. CAZORLA S.L;SARI PLUS;2140188;FABAN;AMM n° 10425 P/B;Belgique;Selon le produit de référence français;
DANFAGRIG;2170580;AUTORISE;M. CAZORLA S.L;SARI PLUS;2140188;VISION PLUS;AMM n° 15566;Italie;Selon le produit de référence français;
ADELIA EC;2161083;AUTORISE;SAGA SAS;SPRINGBOK;2090112;BUTISAN DUO 400 EC;AMM n° R-39/2008;Pologne;Selon le produit de référence français;
ADELIA EC;2161083;AUTORISE;SAGA SAS;SPRINGBOK;2090112;BUTISAN DUO 400 EC;AMM n° R-7/2017;Pologne;Selon le produit de référence français;
REGALIS PLUS 10 WG;2180132;AUTORISE;UNISEM S.A;REGALIS PLUS;2150008;REGALIS PLUS 10 WG;AMM n° R-20/2015;Pologne;Selon le produit de référence français;
URTIKA;2170913;AUTORISE;GRITCHE;ORTIVA;9700332;MIRADOR SC;AMM n° 15111;Italie;Selon le produit de référence français;
TOPLEX XPE;2070153;RETIRE;TOP SAS;LEXUS XPE;9600056;LEXUS XPE;AMM n° 8994/B;Belgique;Selon le produit de référence français;
COMMODORE;2120128;RETIRE;HMWC SAS;LEXUS XPE;9600056;LEXUS XPE;AMM n° 8994/B;Belgique;Selon le produit de référence français;
CAZSEENL;2200240;AUTORISE;M. CAZORLA S.L;YARIS;2160963;SERCADIS;AMM n° 16945;Italie;Selon le produit de référence français;
RACAMETAZI;2150640;AUTORISE;M. CAZORLA S.L;SULTAN;2000003;SULTAN;AMM n° 11526;Italie;Selon le produit de référence français;
RAUCEIMAL;2180589;AUTORISE;M. CAZORLA S.L;SERCADIS;2160962;SERCADIS;AMM n° 15126 N;Pays-Bas;Selon le produit de référence français;
DILAN PRO;2170802;AUTORISE;EUROFYTO NV;DELAN PRO;2160726;DELAN PRO;AMM n° 19-223;Danemark;Selon le produit de référence français;
DILAN PRO;2170802;AUTORISE;EUROFYTO NV;DELAN PRO;2160726;DELAN PRO;AMM n° 10485 P/B;Belgique;Selon le produit de référence français;
DILAN PRO;2170802;AUTORISE;EUROFYTO NV;DELAN PRO;2160726;DELAN PRO;AMM n° 16562;Italie;Selon le produit de référence français;
CAZEPSUL;2110034;AUTORISE;M. CAZORLA S.L;CEPSUL ESPECIAL 98,5 %;2060007;CEPSUL ESPECIAL 98,5%;AMM n° 18422;Espagne;Selon le produit de référence français;
ZYRACNEEM;2220107;AUTORISE;SAGA SAS;NEEMAZAL-T/S;2140090;NEEMAZAL-T/S;AMM n° 11561;Italie;Selon le produit de référence français;
CONFUSE;2100130;AUTORISE;EUROFYTO NV;RAK 5;8900685;RAK5;AMM n° 11555;Italie;Selon le produit de référence français;
POMMUS;2120017;AUTORISE;EUROFYTO NV;GINKO;2000536;ISOMATE C TT;AMM n° 11552;Italie;Selon le produit de référence français;
CLAYTON ROULETTE;2200591;AUTORISE;CLAYTON PLANT PROTECTION LTD;NISSODIUM;2090157;CIDELY;AMM n° 15449;Italie;Selon le produit de référence français;
MAXOLETI;2160421;AUTORISE;M. CAZORLA S.L;MAXCEL;2090019;MAXCEL 2SL;AMM n° 15839;Italie;Selon le produit de référence français;
SCIHALOITE;2180688;AUTORISE;M. CAZORLA S.L;LAMBDASTAR;2130083;GUIMAR;AMM n° 25.882;Espagne;Selon le produit de référence français;
POROUM PLUS;2190467;AUTORISE;GRITCHE;ADENGO XTRA;2160693;ADENGO 465 SC;AMM n° 2789/26.06.2008;Roumanie;Selon le produit de référence français;
PIRA 2;2190304;AUTORISE;GRITCHE;SYLLIT 544 SC;2160756;SYLLIT 544 PRO;AMM n° 10597 P/B;Belgique;Selon le produit de référence français;
IMATOLETO;2170578;RETIRE;M. CAZORLA S.L;NUPRID 600 FS;2150280;NUPRID AL 600 FS;AMM n° 2352/19.12.2006;Roumanie;Selon le produit de référence français;
DANDIFNO;2150451;AUTORISE;M. CAZORLA S.L;DIFCOR 250 EC;2060002;NARITA;AMM n° 14307 N;Pays-Bas;Selon le produit de référence français;
DANDIFNO;2150451;AUTORISE;M. CAZORLA S.L;DIFCOR 250 EC;2060002;DIFCOR 250;AMM n° 12489;Italie;Selon le produit de référence français;
DANDIFNO;2150451;AUTORISE;M. CAZORLA S.L;DIFCOR 250 EC;2060002;DIFCOR;AMM n° 17112;Italie;Selon le produit de référence français;
ALTACOR 35 WG;2171155;AUTORISE;UNISEM S.A;ALTACOR;2100122;ALTACOR 35 WG;AMM n° 25.296;Espagne;Selon le produit de référence français;
BUPIROD;2171223;AUTORISE;GRITCHE;NIMROD;7600008;NIMROD 250 EC;AMM n° R-19/2015;Pologne;Selon le produit de référence français;
SHORT;2150890;AUTORISE;TOP SAS;MEDAX TOP;2010030;MEDAX TOP;AMM n° 0382R/10;Lituanie;Selon le produit de référence français;
SHORT;2150890;AUTORISE;TOP SAS;MEDAX TOP;2010030;MEDAX TOP;AMM n° 9840 P/B;Belgique;Selon le produit de référence français;
SHORT;2150890;AUTORISE;TOP SAS;MEDAX TOP;2010030;MEDAX TOP 350 SC;AMM n° R-23/2011;Pologne;Selon le produit de référence français;
PAKAP DG;2180881;AUTORISE;SAGA SAS;ABAK;2090041;CAPRI;AMM n° 9764 P/B;Belgique;Selon le produit de référence français;
BACARA;2171181;RETIRE;PSI (UK) LTD;CARAT;9400134;BACARA;AMM n° M 16448;Royaume-Uni;Selon le produit de référence français;
BOEM;2170846;RETIRE;GRITCHE;CARAT;9400134;BACARA;AMM n° M 16448;Royaume-Uni;Selon le produit de référence français;
AGRI-GRAPHOLITA;2190353;AUTORISE;AGRICANIGOU SARL;RAK 5;8900685;RAK 5;AMM n° 11555;Italie;Selon le produit de référence français;
CAZOFATIC;2120026;AUTORISE;M. CAZORLA S.L;FANTIC F WG;2080063;FANTIC F;AMM n° 24.568;Espagne;Selon le produit de référence français;
CLOMANIUM;2170145;AUTORISE;SORALYS SAS;CENTIUM 36 CS;2000299;CENTIUM 36 CS;AMM n° 14643;Italie;Selon le produit de référence français;
CLOMANIUM;2170145;AUTORISE;SORALYS SAS;CENTIUM 36 CS;2000299;CENTIUM 36 CS;AMM n° 004798-00;Allemagne;Selon le produit de référence français;
CLOMANIUM;2170145;AUTORISE;SORALYS SAS;CENTIUM 36 CS;2000299;COMMAND 36 CS;AMM n° 11649;Italie;Selon le produit de référence français;
ASSOR DUO;2179999;AUTORISE;GRITCHE;ARCHIPEL DUO;2140258;HUSSAR MAXX OD;AMM n° 13983;Italie;Selon le produit de référence français;
ASSOR DUO;2179999;AUTORISE;GRITCHE;ARCHIPEL DUO;2140258;COSSACK OD;AMM n° 15587;Italie;Selon le produit de référence français;
ASSOR DUO;2179999;AUTORISE;GRITCHE;ARCHIPEL DUO;2140258;COSSACK;AMM n° 18-564;Danemark;Selon le produit de référence français;
ANDEL PRO SC;2190485;AUTORISE;SAGA SAS;DELAN PRO;2160726;DELAN PRO;AMM n° 16562;Italie;Selon le produit de référence français;
ZOECAZEU;2190972;AUTORISE;M. CAZORLA S.L;AMPEXIO;2171119;AMPEXIO;AMM n° 16288;Italie;Selon le produit de référence français;
GLYFO SPOT+;2040047;RETIRE;PHYTO SERVICE S.A.S.;ROUNDUP FLASH;2010262;ROUNDUP MAX;AMM n° 9343 /B;Belgique;Selon le produit de référence français;
DIANFOESAL;2110039;AUTORISE;M. CAZORLA S.L;ALIETTE FLASH;9600025;ALIETTE WG;AMM n° 15907;Espagne;Selon le produit de référence français;
FLEXIO;2190963;AUTORISE;GRITCHE;AMPEXIO;2171119;AMPEXIO;AMM n° 16288;Italie;Selon le produit de référence français;
FAIROS;2220037;AUTORISE;GRITCHE;PONTOS;2180864;PONTOS;AMM n° 5279-0;République tchèque;Selon le produit de référence français;
AGRO PRO SUPER;2050049;RETIRE;CERA CHEM S.A.R.L.;REFERENCE PROGRESS;2010025;BETANAL EXPERT;AMM n° 9289 /B;Belgique;Selon le produit de référence français;
AGROTECH-DESMEDIPHAME PLUS EC;2060005;RETIRE;AGROTECH TRADING GMBH;REFERENCE PROGRESS;2010025;BETANAL EXPERT;AMM n° 4991-00;Allemagne;Selon le produit de référence français;
APA CS;2220250;AUTORISE;GRITCHE;ATIC AQUA;2090011;STOMP AQUA;AMM n° 13093;Italie;Selon le produit de référence français;
CINERKIL;2140036;AUTORISE;GRITCHE;BOTECTOR;2120082;BOTECTOR;AMM n° 14951;Italie;Selon le produit de référence français;
BLATDELBO;2160328;AUTORISE;M. CAZORLA S.L;PROSARO;2100108;PROSARO;AMM n° 13386;Italie;Selon le produit de référence français;
BLATDELBO;2160328;AUTORISE;M. CAZORLA S.L;PROSARO;2100108;PROSARO;AMM n° 25.661;Espagne;Selon le produit de référence français;
ABILITY BIS;2180106;AUTORISE;PHYTO SERVICE S.A.S.;FLEXITY;2060051;FLEXITY;AMM n° 9511 P/B;Belgique;Selon le produit de référence français;
CRAWL+;2180048;AUTORISE;PHYTO SERVICE S.A.S.;CALARIS;2170381;CALARIS;AMM n° 9501 P/B;Belgique;Selon le produit de référence français;
CRAWL+;2180048;AUTORISE;PHYTO SERVICE S.A.S.;CALARIS;2170381;CALARIS;AMM n° 8028;Italie;Selon le produit de référence français;
TRIONYL EC;2180027;AUTORISE;SAGA SAS;KEYNOTE;2160931;ASCRA XPRO;AMM n° 0604/28.03.2016;Estonie;Selon le produit de référence français;
TALKOR;2180102;AUTORISE;GRITCHE;ALTACOR;2100122;ALTACOR 35 WG;AMM n° 25.296;Espagne;Selon le produit de référence français;
KANIL;2171225;AUTORISE;GRITCHE;DIFLANIL 500 SC;2140242;DIFLANIL 500 SC;AMM n° 04358;Irlande;Selon le produit de référence français;
KANIL;2171225;AUTORISE;GRITCHE;DIFLANIL 500 SC;2140242;DIFLANIL 500 SC;AMM n° R-150/2014;Pologne;Selon le produit de référence français;
KANIL;2171225;AUTORISE;GRITCHE;DIFLANIL 500 SC;2140242;DIFLANIL 500 SC;AMM n° 005985-00;Allemagne;Selon le produit de référence français;
KANIL;2171225;AUTORISE;GRITCHE;DIFLANIL 500 SC;2140242;DIFLANIL 500 SC;AMM n° AS2-33H(2016);Lituanie;Selon le produit de référence français;
FIZOLE 250 EC;2170914;AUTORISE;SAGA SAS;DIFCOR 250 EC;2060002;DIFCOR 250;AMM n° 12489;Italie;Selon le produit de référence français;
MIDAMIBALE;2170809;AUTORISE;M. CAZORLA S.L;OCEAL;2130066;MINERVE;AMM n° 25.813;Espagne;Selon le produit de référence français;
SASKATON;2180416;AUTORISE;PSI (UK) LTD;SPRINGBOK;2090112;BUTISAN KOMBI;AMM n° 006288-00;Allemagne;Selon le produit de référence français;
RACAPIARETA;2160972;AUTORISE;M. CAZORLA S.L;PANDERO GOLD;2010398;RIDOMIL GOLD COMBI PEPITE;AMM n° 12878;Italie;Selon le produit de référence français;
CRUZAL;2140077;AUTORISE;GRITCHE;PULSAR 40;2090064;PULSAR 40;AMM n° 1859/29.09.1998;Roumanie;Selon le produit de référence français;
CRUZAL;2140077;AUTORISE;GRITCHE;PULSAR 40;2090064;PULSAR 40 SL;AMM n° 04.2/1380-1/2013 NEBIH;Hongrie;Selon le produit de référence français;
LUNA EXPERIENCE PIMP;2170741;AUTORISE;PSI (UK) LTD;LUNA EXPERIENCE;2160008;LUNA EXPERIENCE;AMM n° 15384;Italie;Selon le produit de référence français;
LUNA EXPERIENCE PIMP;2170741;AUTORISE;PSI (UK) LTD;LUNA EXPERIENCE;2160008;LUNA EXPERIENCE;AMM n° 026861-00;Allemagne;Selon le produit de référence français;
GLOBARYLL 100 PIMP;2160104;AUTORISE;PSI (UK) LTD;GLOBARYLL 100;2130260;GLOBARYLL 100;AMM n° 9505 P/B;Belgique;Selon le produit de référence français;
VODAO;2171195;AUTORISE;GRITCHE;ERCOLE;2150483;POINTER GEO;AMM n° ES-00067;Espagne;Selon le produit de référence français;
CELEST PIMP;2130180;AUTORISE;PSI (UK) LTD;CELEST NET;2030323;CELEST;AMM n° 9288;Italie;Selon le produit de référence français;
MICHIGAN+;2190100;AUTORISE;PHYTO SERVICE S.A.S.;CONSIST;9900037;FLINT;AMM n° 11119;Italie;Selon le produit de référence français;
CAZOPRECUR;2140272;AUTORISE;M. CAZORLA S.L;PREVICUR ENERGY;2070107;PREVICUR ENERGY;AMM n° 12043;Italie;Selon le produit de référence français;
REBOOT 66 WG;2180590;AUTORISE;UNISEM S.A;REBOOT;2140126;REBOOT 66 WG;AMM n° R-164/2015;Pologne;Selon le produit de référence français;
FLORAPYR;2110087;AUTORISE;RAIFFEISEN BEZUGS UND ABSATZGENOSSENSCHAFT EG;OCTOGON;2090042;BROADWAY;AMM n° 6233-00;Allemagne;Selon le produit de référence français;
PAGEN;2130016;AUTORISE;AGRI CANIGOU SARL;CORAGEN;2100121;CORAGEN;AMM n° 13981;Italie;Selon le produit de référence français;
CAMBATEC;2020417;AUTORISE;CERA CHEM S.A.R.L.;BANVEL 4 S;8400096;BANVEL 4S;AMM n° 11291;Pays-Bas;Selon le produit de référence français;
SONARA;2110035;AUTORISE;TRIASEM;PROSARO;2100108;PROSARO 250 EC;AMM n° 2517/22.02.2005;Roumanie;Selon le produit de référence français;
RIVAMITE;2190741;AUTORISE;RIVALE;KANEMITE;2100183;KANEMITE;AMM n° 14100;Italie;Selon le produit de référence français;
CAZSORCAZ;2180625;AUTORISE;M. CAZORLA S.L;SORCIER;2110101;VOLCAN;AMM n° 23.138;Espagne;Selon le produit de référence français;
SILTIOS XL;2170734;AUTORISE;TRIASEM;LATITUDE XL;2150019;LATITUDE XL;AMM n° 15747;Italie;Selon le produit de référence français;
AROAB;2170405;AUTORISE;UNISEM S.A;TOUTATIS DAMtec;2150481;NOVITRON DAM TEC;AMM n° 421-7;Danemark;Selon le produit de référence français;
TEBDANETI;2170796;AUTORISE;M. CAZORLA S.L;STARPRO;2110168;ULYSSES;AMM n° 25.793;Espagne;Selon le produit de référence français;
ELUMIS PIMP;2180133;AUTORISE;PSI (UK) LTD;ELUMIS;2100111;ELUMIS;AMM n° 006960-00;Allemagne;Selon le produit de référence français;
ELUMIS PIMP;2180133;AUTORISE;PSI (UK) LTD;ELUMIS;2100111;ELUMIS;AMM n° UP/I-320-20/11-01/111;Croatie;Selon le produit de référence français;
INPUT 460 EC;2180587;AUTORISE;PSI (UK) LTD;INPUT;2100056;INPUT 460 EC;AMM n° R-61/2011;Pologne;Selon le produit de référence français;
TOPREX 375 SC;2171319;AUTORISE;PSI (UK) LTD;TOPREX;2080147;TOPREX 375 SC;AMM n° AS2-26F/2014;Lituanie;Selon le produit de référence français;
STALANNE;2220244;AUTORISE;UNISEM S.A;KATOUN;2140254;KATOUN;AMM n° 16463;Italie;Selon le produit de référence français;
ROZANNE;2220243;AUTORISE;UNISEM S.A;KATOUN;2140254;KATOUN;AMM n° 16463;Italie;Selon le produit de référence français;
TALENTRIXTRA;2160403;AUTORISE;M. CAZORLA S.L;TALENDO EXTRA;2130271;TALENDO EXTRA;AMM n° ES-00008;Espagne;Selon le produit de référence français;
TALENTRIXTRA;2160403;AUTORISE;M. CAZORLA S.L;TALENDO EXTRA;2130271;TALENDO EXTRA;AMM n° 15126;Italie;Selon le produit de référence français;
CYGALIS DG;2170402;AUTORISE;SAGA SAS;REGALIS PLUS;2150008;REGALIS PLUS 10 WG;AMM n° R-20/2015 dnia 04.02.2015r;Pologne;Selon le produit de référence français;
ROGULE PLUS;2170795;AUTORISE;AGRICANIGOU SARL;REGALIS PLUS;2150008;REGALIS PLUS;AMM n° ES-00100;Espagne;Selon le produit de référence français;
DRAKE;2130230;AUTORISE;GRITCHE;CONSIST;9900037;FLINT;AMM n° 11119;Italie;Selon le produit de référence français;
WASAGAMACK;2180492;AUTORISE;UNISEM S.A;ORTIVA;9700332;MIRADOR SC;AMM n° 15111;Italie;Selon le produit de référence français;
LALYRE;2170312;AUTORISE;GRITCHE;CELEST NET;2030323;CELEST;AMM n° 9288;Italie;Selon le produit de référence français;
ALAMBIX;2170404;AUTORISE;GRITCHE;TOUTATIS DAMtec;2150481;NOVITRON DAMTEC;AMM n° 421-7;Danemark;Selon le produit de référence français;
CASPER PIMP;2180078;AUTORISE;PSI (UK) LTD;CASPER;2090037;CASPER;AMM n° 13313;Italie;Selon le produit de référence français;
PASSAT;2170750;AUTORISE;PSI (UK) LTD;PULSAR 40;2090064;PASSAT;AMM n° 04.2/1380-1/2013;Hongrie;Selon le produit de référence français;
PROFLUO;2140115;AUTORISE;EUROFYTO NV;PROPULSE;2130202;PROPULSE;AMM n° 007208-00;Allemagne;Selon le produit de référence français;
PROFLUO;2140115;AUTORISE;EUROFYTO NV;PROPULSE;2130202;PROPULSE;AMM n° AS2-38F/2015;Lituanie;Selon le produit de référence français;
PROFLUO;2140115;AUTORISE;EUROFYTO NV;PROPULSE;2130202;PROPULSE 250 SE;AMM n° R-523/2015d	;Pologne;Selon le produit de référence français;
CADIX;2120200;AUTORISE;GRITCHE;HORTIMEC;8500174;ZAMIR 18;AMM n° 13927;Italie;Selon le produit de référence français;
DENETIFEE;2170403;AUTORISE;M. CAZORLA S.L;DELAN PRO;2160726;DELAN PRO;AMM n° 16562;Italie;Selon le produit de référence français;
ACARIS;2120044;AUTORISE;EUROFYTO NV;HORTIMEC;8500174;VERTIMEC;AMM n° 16.784;Espagne;Selon le produit de référence français;
NAMOPRO;2170745;AUTORISE;GRITCHE;PROMAN;2150028;PROMAN;AMM n° 007932-00;Allemagne;Selon le produit de référence français;
NAMOPRO;2170745;AUTORISE;GRITCHE;PROMAN;2150028;PROMAN;AMM n° 14698N;Pays-Bas;Selon le produit de référence français;
SPRINGBOK PIMP;2180896;AUTORISE;PSI (UK) LTD;SPRINGBOK;2090112;SPRINGBOK;AMM n° R-61/2017;Pologne;Selon le produit de référence français;
SPRINGBOK PIMP;2180896;AUTORISE;PSI (UK) LTD;SPRINGBOK;2090112;SPRINGBOK;AMM n° R-72/2016;Pologne;Selon le produit de référence français;
POPARO;2170866;AUTORISE;UNISEM S.A;PROXANIL;2080114;AXIDOR;AMM n° 006481-60;Allemagne;Selon le produit de référence français;
POPARO;2170866;AUTORISE;UNISEM S.A;PROXANIL;2080114;PROXANIL;AMM n° 13217 N;Pays-Bas;Selon le produit de référence français;
ORAISON+;2190333;AUTORISE;PHYTO SERVICE S.A.S.;PROSARO;2100108;PROSARO;AMM n° 13386;Italie;Selon le produit de référence français;
ORSTAR;2171224;AUTORISE;GRITCHE;ORTIVA;9700332;AMISTAR;AMM n° 8898 P/B;Belgique;Selon le produit de référence français;
FLUCY;2170827;AUTORISE;GRITCHE;CYFLODIUM;2130067;CIDELY;AMM n° 15449;Italie;Selon le produit de référence français;
FLUCIUM;2170826;AUTORISE;GRITCHE;NISSODIUM;2090157;CIDELY;AMM n° 15449;Italie;Selon le produit de référence français;
SOLEC;2150768;AUTORISE;GRITCHE;BREVIS;2150002;BREVIS;AMM n° 16084;Italie;Selon le produit de référence français;
SOLEC;2150768;AUTORISE;GRITCHE;BREVIS;2150002;BREVIS;AMM n° 10358 P/B;Belgique;Selon le produit de référence français;
SOLEC;2150768;AUTORISE;GRITCHE;BREVIS;2150002;BREVIS 150 SG;AMM n° R-219/2015;Pologne;Selon le produit de référence français;
PATMAN;2160178;AUTORISE;GRITCHE;REVUS;2080098;REVUS;AMM n° 12969 N;Pays-Bas;Selon le produit de référence français;
PATMAN;2160178;AUTORISE;GRITCHE;REVUS;2080098;REVUS;AMM n° 9604 P/B;Belgique;Selon le produit de référence français;
PATMAN;2160178;AUTORISE;GRITCHE;REVUS;2080098;PERGADO SC;AMM n° 13382;Italie;Selon le produit de référence français;
CANICLER;2170771;AUTORISE;AGRICANIGOU SARL;CLERANDA;2110098;CLERANDA;AMM n° 25.870;Espagne;Selon le produit de référence français;
