Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
CIA-LONG;2080052;RETIRE;DIAGONALE CONSEIL;RANMAN;2000045;RANMAN;AMM n° 12578;Italie;Selon le produit de référence français;
CIA-LONG;2080052;RETIRE;DIAGONALE CONSEIL;RANMAN;2000045;RANMAN;AMM n° 9291/B et 9292/B;Belgique;Selon le produit de référence français;
CIA-LONG;2080052;RETIRE;DIAGONALE CONSEIL;RANMAN;2000045;RANMAN TWINPACK;AMM n° 11851;Royaume-Uni;Selon le produit de référence français;
TAMIPLUS;2120103;RETIRE;SAGA SAS;GOLTIX ULTRADISPERSIBLE;7900732;GOLTIX;AMM n° 2732;Italie;Selon le produit de référence français;
DILOXAN 36 EC;2100055;RETIRE;RIVALE;ILLOXAN CE;7800536;ILOXAN;AMM n° 12887;Espagne;Selon le produit de référence français;
PERSEIS 500;2150749;AUTORISE;SAGA SAS;DIFLANIL 500 SC;2140242;DIFLANIL 500 SC;AMM n° R-150/2014 zdnia 29.08.2014 r;Pologne;Selon le produit de référence français;
REGALETI;2150777;AUTORISE;M. CAZORLA S.L;REGALIS PLUS;2150008;REGALIS PLUS;AMM n° 10293 P/B;Belgique;Selon le produit de référence français;
EXCITE SC;2150744;AUTORISE;GRITCHE;ENERVIN ACTIVE;2140270;ENERVIN SC;AMM n° 15264;Italie;Selon le produit de référence français;
TEPRO EC;2160134;AUTORISE;SAGA SAS;PROSARO;2100108;PROSARO 250 EC;AMM n° R-152/2014;Pologne;Selon le produit de référence français;
DIFOPEX;2150308;AUTORISE;FRARIMPEX;SCORE;8800841;SCORE 25 EC;AMM n° 8801;Italie;Selon le produit de référence français;
ATOUA;2150362;AUTORISE;GRITCHE;FOLDER 80 WG;2140181;FOLDER 80 WG;AMM n° 16068;Italie;Selon le produit de référence français;
MONDAX 500;2150229;AUTORISE;SAGA SAS;LUNA PRIVILEGE;2130200;LUNA PRIVILEGE;AMM n° 14806;Italie;Selon le produit de référence français;
LEONIS NEW;2160404;AUTORISE;SAGA SAS;COMPIL;2130068;LEGATO 500 SC;AMM n° R-165/2015;Pologne;Selon le produit de référence français;
ANTRAGO;2020124;RETIRE;CERA CHEM S.A.R.L.;VENZAR;6400401;;;;;
ARENACILE 80%;2030105;RETIRE;ARES EUROPE LTD;VENZAR;6400401;;;;;
BUDGET BUPIRIMATE;2020127;RETIRE;AGROTRADE B.V.;NIMROD;7600008;;;;;
BUDGET PHOSMET;2020182;RETIRE;AGROTRADE B.V.;IMIDAN;6600031;;;;;
EUDICATCH SEVIGNEA;2180075;AUTORISE;PSI (UK) LTD;BELOUKHA;2140255;BELOUKHA;AMM n° 10586 P/B;Belgique;Selon le produit de référence français;
RACABELVIG;2180361;AUTORISE;M. CAZORLA S.L;BELOUKHA;2140255;BELOUKHA 680 EC;AMM n° R-94/2016;Pologne;Selon le produit de référence français;
PROPULSE PIMP;2140250;AUTORISE;UNISEM S.A;PROPULSE;2130202;PROPULSE;AMM n° 04.2/41-1/2014;Hongrie;Selon le produit de référence français;
PROPULSE PIMP;2140250;AUTORISE;UNISEM S.A;PROPULSE;2130202; PROPULSE;AMM n° AS2-38F/2015;Lituanie;Selon le produit de référence français;
KITT;2220252;AUTORISE;GRITCHE;KOCIDE 2000;9700401;KOCIDE 2000;AMM n° 10573;Italie;Selon le produit de référence français;
EGIDE;2130072;AUTORISE;PHYTHERON 2000;ALLEATO 80 WG;2120088;ALLEATO 80 WG;AMM n° 11732;Italie;Selon le produit de référence français;
CAJON 250;2190961;AUTORISE;GRITCHE;JOAO;2060116;PROTENDO 250 EC;AMM n° 10930P/B;Belgique;Selon le produit de référence français;
CLOMAZO-GOLD;2060013;RETIRE;LANDGOLD & CO LTD;CENTIUM 36 CS;2000299;;;;;
CLOP 100;2020497;RETIRE;ARES EUROPE LTD;CLIOPHAR;9800496;;;;;
COLZAGOLD;2040101;RETIRE;LANDGOLD & CO LTD;BUTISAN S;8100291;;;;;
IMPULS;2030454;RETIRE;SEMENCES DE L'EST SARL;OPERA;2000333;;;;;
LENAXYL;2020421;RETIRE;TOP SAS;LENAZAR;2000447;;;;;
SONIK+;2030447;AUTORISE;PHYTO SERVICE S.A.S.;PRIMUS;9800277;PRIMUS;AMM n° 034622-00;Allemagne;Selon le produit de référence français;
SYNTHESE+;2040050;AUTORISE;PHYTO SERVICE S.A.S.;STROBY DF;9700214;STROBY WG;AMM n° 024331-00;Allemagne;Selon le produit de référence français;
PERFORMER SL;2200198;AUTORISE;SAGA SAS;MESSAGER;2150479;IBISCO;AMM n° 16509;Italie;Selon le produit de référence français;
AGRI-DELAN;2190546;AUTORISE;AGRICANIGOU SARL;DELAN PRO;2160726;DELAN PRO;AMM n° ES-00326;Espagne;Selon le produit de référence français;
PEPITO;2040073;RETIRE;SAGA SAS;HORIZON EW;9200078;;;;;
SATURNE;2030449;RETIRE;SAGA SAS;CHALLENGE 600;8600243;;;;;
SECUR TOP;2020143;RETIRE;CERA CHEM S.A.R.L.;TORNADO SC;9300322;;;;;
TENVA;2200339;AUTORISE;GRITCHE;FANDANGO S;2060118;FANDANGO PRO;AMM n° 9723 P/B;Belgique;Selon le produit de référence français;
CAZPAJ;2150456;AUTORISE;M. CAZORLA S.L;PAJO;2140127;LIETO;AMM n° 15361;Italie;Selon le produit de référence français;
CAZPAJ;2150456;AUTORISE;M. CAZORLA S.L;PAJO;2140127;LIETO;AMM n° ES-00004;Espagne;Selon le produit de référence français;
CLAYTON ABBA;2200719;AUTORISE;CLAYTON PLANT PROTECTION LTD;HORTIMEC;8500174;VERTIMEC EC;AMM n° 8795;Italie;Selon le produit de référence français;
ANTIGERME BRABANT SUPER;2090197;RETIRE;UPL EUROPE LTD;POLDER 1%;2000099;AGRICHIM KIEMREMNER ANTIGERME;AMM n° 7069/B;Belgique;Selon le produit de référence français;
HM FOG;2140058;RETIRE;HMWC SAS;NEO CONSERVIET LIQUIDE 300;8900388;NEO NET FOG;AMM n° 9559/B;Belgique;Selon le produit de référence français;
NEO 1%;2060006;RETIRE;TOP SAS;NEOCONSERVIET;7500071;BARSPROUT;AMM n° 2641/B;Belgique;Selon le produit de référence français;
NEOPRO BASIC;2150027;RETIRE;TOP SAS;POLDER BASIC;2090067;TUBERPROP BASIC;AMM n° 12468N;Pays-Bas;Selon le produit de référence français;
NEOPRO EASY;2150047;RETIRE;TOP SAS;TUBERPROP EASY;2140064;TUBERPROP EASY;AMM n° 13420N;Pays-Bas;Selon le produit de référence français;
NEO-PRO 300 HN;2060101;RETIRE;TOP SAS;POLDER 300 HN;2000100;AGRICHEM KIEMREMMER HN;AMM n° n° 11004 N;Pays-Bas;Selon le produit de référence français;
NEO-PRO 300 HN;2060101;RETIRE;TOP SAS;POLDER 300 HN;2000100;TUBERPROP HN;AMM n° 9101/B;Belgique;Selon le produit de référence français;
NEOPRO ULTRA;2150748;RETIRE;TOP SAS;TUBERPROP ULTRA;2140063;TUBERPROP ULTRA;AMM n° 13542N;Pays-Bas;Selon le produit de référence français;
EUROXAR PLUS;2160510;RETIRE;EUROFYTO NV;CERIAX;2120205;ADEXAR PLUS;AMM n° R-19/2014;Pologne;Selon le produit de référence français;
EUROXAR PLUS;2160510;RETIRE;EUROFYTO NV;CERIAX;2120205;CERIAX;AMM n° 007226-00;Allemagne;Selon le produit de référence français;
EUROXAR PLUS;2160510;RETIRE;EUROFYTO NV;CERIAX;2120205;CERIAX;AMM n° 14745N;Pays-Bas;Selon le produit de référence français;
CAZOROCA;2130258;AUTORISE;M. CAZORLA S.L;DYNALI;2130049;DYNALI;AMM n° ES-00001;Espagne;Selon le produit de référence français;
ROUNDUP ULTRAMAX;2080042;RETIRE;UNISEM S.A;ROUNDUP FLASH;2010262;ROUNDUP ULTRAMAX;AMM n° 5191-00;Allemagne;Selon le produit de référence français;
CAZFOSFI;2150372;AUTORISE;M. CAZORLA S.L;LBG-01F34;2100041;CENTURY SL;AMM n° 16161;Italie;Selon le produit de référence français;
CAZOVERTI;2140035;AUTORISE;M. CAZORLA S.L;HORTIMEC;8500174;ZAMIR 18;AMM n° 13927;Italie;Selon le produit de référence français;
CAZOVERTI;2140035;AUTORISE;M. CAZORLA S.L;HORTIMEC;8500174;SPIDERMEC;AMM n° 22.649;Espagne;Selon le produit de référence français;
ADIRTEB;2080051;AUTORISE;A.D.I.R.H.;CORAIL;9300257;FOLICUR 25 EW;AMM n° 18640;Espagne;Selon le produit de référence français;
BUDGET DIFENOCONAZOLE;2070216;AUTORISE;AGROTRADE B.V.;SCORE;8800841;SCORE;AMM n° 4353-00;Autriche;Selon le produit de référence français;
BUDGET DIFENOCONAZOLE;2070216;AUTORISE;AGROTRADE B.V.;SCORE;8800841;SCORE;AMM n° 4353-00;Allemagne;Selon le produit de référence français;
